name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
贯穿魔弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噤声魔弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精准魔弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
倾泻魔弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诅咒魔弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#StellaArena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一等星,HWI_FirstMantitude,3,,17500,1000,1000,,2000,,8,30,,,,ENERGY,,2000,0.5,1,1,3.5,0,0,0,0,100000,,,,,,,,"restricted,energy22, beam17",,造物,,存在,,,,,%s：爆发期间附加额外的随机破片。爆发结束时产生一次相当于造成伤害的巨型爆炸。,无尽的终幕曲,,,,
星之诗,HWI_POS_Pod,3,,7000,4000,,300,800,20,10,8,8,0.2,4,ENERGY,0,,0,6,1,0.2,0,0,0,0,,300,25,50,600,,,"DO_NOT_AIM, DO_NOT_CONSERVE","restricted,missile15,LR ",,造物,,支援,,,,,%s：环绕自身，直到目标处于无防护状态才发动攻击。,逐光之星,,,,
坠星,,3,,17500,1000,500,,,,6,30,,,,ENERGY,,1500,0.5,0.5,1.5,6.5,,,,,1000,,,,,,,,"restricted,energy22, beam17",,造物,,存在,,,,,%s: 光束会贯穿目标而且不会造成伤害。在光束的末端会持续生成 %s 伤害的爆炸。,坠星路途|500-1500,,,,
陨落之星,,0,,,,,1000,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,未知,,,,,,,,,,,,38.5
解离洪流,HWI_ScatterCascade,3,,17500,1000,800,,,,8,35,,,,HIGH_EXPLOSIVE,,350,0.1,0.1,,,,,,,2000,,,,,,,,"restricted,he19, beam17",,造物,,通用,,,,,%s：分为四道光束。,解耦,,,,
弧光冲击波,HWI_ArcBlaster,3,,15000,900,,1000,,,12,30,,,,KINETIC,1440,,0.25,2.75,1,,0,0,0,0,,5000,5000,,,,,FIRE_WHEN_INEFFICIENT,"restricted,kinetic20",,光环动力武器工业,,通用,,,,,命中时对目标造成基于质量 %s 的额外动能伤害，并会将目标拉向命中点。目标可能因此熄火。,25%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#J01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天火,HWI_SkyFire,3,,500000,1000,1000,,2000,,15,100,,,,ENERGY,,2000,1,15,8,4,0,0,0,0,100000,,,,,,,SYSTEM,restricted,,光环动力武器工业,,通用,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Special#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二象性-弹炮一体防空系统(弹),HWI_MGSystem_M,2,,7000,1000,,250,,10,30,14,,,,HIGH_EXPLOSIVE,0,,0,2.5,1,,0,0,0,0,,500,500,3.5,125,,10,"PD,ANTI_FTR,SYSTEM",restricted,,光环动力武器工业,,点防御,较快,,优秀,优秀,,400%|205%,,,,
重型质量驱动器(弧光弹),HWI_MassDriverL_Arc,2,,10000,900,,300,,50,10,22,,,,FRAGMENTATION,150,,0,0.66,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
重型质量驱动器(冲击弹),HWI_MassDriverL_Shock,2,,10000,900,,200,,50,10,22,,,,KINETIC,150,,0,0.66,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
重型质量驱动器(电极),HWI_MassDriverL_Shrouded,2,,10000,900,,200,,50,10,22,,,,ENERGY,150,,0,0.66,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
中型质量驱动器(弧光弹),HWI_MassDriverM_Arc,2,,6000,800,,150,,32,16,12,,,,FRAGMENTATION,90,,0,0.5,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
中型质量驱动器(冲击弹),HWI_MassDriverM_Shock,2,,6000,800,,100,,32,16,12,,,,KINETIC,90,,0,0.5,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
轻型质量驱动器(弧光弹),HWI_MassDriverS_Arc,2,,1800,700,,150,,11,25,6,,,,FRAGMENTATION,40,,0,0.4,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
轻型质量驱动器(冲击弹),HWI_MassDriverS_Shock,2,,1800,700,,100,,11,25,6,,,,KINETIC,40,,0,0.4,1,,0,4,4,4,,750,,,15,,,"PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,%s：使用不同弹药攻击目标。,通用载荷,针对装甲使用%s弹药，针对护盾使用%s弹药，针对小型目标使用%s弹药。,高爆|动能|近炸电弧,,
火控激光,HWI_FireLidar,0,,200000,0,50,,0,0,0,0,,,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,restricted,,,,,,,,,,,,,,
灵,HWI_Z,,,,500,,200,500,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,500,100,10000,500,,,SYSTEM,restricted,,,,,,,,,,,,,,38.25
测试武器,HWI_Test,0,,200000,0,50,,0,0,0,0,,,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,restricted,,,,,,,,,,,,,,
"""标准""",HWI_Standard,0,,7000,1000,,150,,10,30,0,2,,,ENERGY,0,,0,1.5,1,,0,0,0,0,,500,75,2.5,125,,10,"PD_ONLY,ANTI_FTR,SYSTEM",restricted,,光环动力武器工业,,点防御,,,,,,,,,,
IR自动长矛(战机),HWI_irautolance_Fighter,0,0,1200,800,500,,,0,50,8,32,1.5,6,FRAGMENTATION,,150,0,,0.1,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR,SYSTEM","HWI_Upd,restricted",,光环动力武器工业,,点防御,,,,,光束命中目标时，对命中位点周围的目标造成最多 %s 点 %s 伤害。,50|破片,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DarkTide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""闪点""",HWI_DT_Flashpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""烟幕""",HWI_DT_Smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""风暴""",HWI_DT_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DayTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白日,HSI_DayTimeBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白夜,HSI_DayTimeMG,2,0,200000,800,,500,,,360,0,,,,FRAGMENTATION,50,,0,0.35,2,0.15,0,9,3,9,,1300,1700,,,,,"PD,PD_ALSO,SYSTEM",restricted,,光环动力武器工业,,通用,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse_Head,HSI_Apocalypse_Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Apocalypse_LS,HSI_Apocalypse_LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Apocalypse_RS,HSI_Apocalypse_RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
束能枪刃,HSI_Apocalypse_RA,3,,100000,20,500,,,0,25,0,,,,ENERGY,,0,0,0.5,,0,,,,,200,,,,,,,"SYSTEM,DANGEROUS",restricted,,光环动力武器工业,,清障,,,,,,,,,,
罐式手雷,HSI_Apocalypse_LA,3,,10000,400,,500,,1,0,,1,0.125,,HIGH_EXPLOSIVE,,,0.5,0.5,1,,2,2,0,0,,250,250,4,250,,,"SYSTEM,PD_ALSO,DO_NOT_AIM",restricted,,光环动力武器工业,,反装甲,,,,,,,,,,
天启转管炮,HWI_Apocalypse,3,,100000,450,,50,,1,12,,,,,FRAGMENTATION,0,,0,0.08,1,0,5,25,-2,-5,,900,900,,10,,,"SYSTEM,PD",restricted,,光环动力武器工业,,压制,,,,,有各 %s 概率切换为 %s 或 %s 伤害，但是降低 %s 伤害。,25%|动能|高爆|33%,,,,
Apocalypse_Cover,HSI_Apocalypse_Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天启防空机枪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""标准II""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Arbaletrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbaletrier_Head,HSI_Arbaletrier_Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbaletrier_L,HSI_Arbaletrier_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Arbaletrier_Shoulder,HSI_Arbaletrier_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
重弩,HSI_Crossbow,4,0,4000,1000,,500,,30,0,0,1,0.125,,HIGH_EXPLOSIVE,0,,0,0,1,,2,3,5,2,,600,,,,,,"STRIKE, USE_VS_FRIGATES,SYSTEM",restricted,,光环动力武器工业,,反装甲,,,,,不会被小型目标阻挡。,,,,true,
连弩,HSI_Arbaletrier_R,4,0,2250,800,,50,0,0,20,0,12,1.9,6,ENERGY,0,,0.05,0.05,3,0.1,3,20,1,4,,1000,,,,,,"SYSTEM,PD",restricted,,光环动力武器工业,,通用(范围),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancer_Head,HSI_Dancer_Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
离子冲锋枪,HSI_Dancer_RA,3,,100000,450,,50,25,1,12,,,,,FRAGMENTATION,0,,0,3.2,20,0.05,5,15,2,-8,,900,900,,10,,,"SYSTEM,PD",restricted,,光环动力武器工业,,压制,,,,,有各 %s 概率切换为 %s 或 %s 伤害，但是降低 %s 伤害。,25%|动能|高爆|33%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Apostle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle_Head,HSI_Apostle_Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle_LS,HSI_Apostle_LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle_RS,HSI_Apostle_RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle_Leg,HSI_Apostle_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle_Body,HSI_Apostle_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
束能大剑,HSI_Apostle_LA,3,,100000,75,900,,0,20,80,,,,,ENERGY,,450,0.4,0.4,0.6,0.2,,,,,700,,,,,,,"SYSTEM,DANGEROUS",restricted,,光环动力武器工业,,清障,,,,,命中目标时，直接造成等同于单轮伤害的一次能量伤害。不会多次触发。,,按住[ %s ]以启用剑防御，降低 %s 装甲、结构和屏障受到的伤害，但是会持续产生硬幅能。,鼠标中键|80%,,
束能大剑,HSI_Apostle_LAD,3,,100000,50,150,,0,20,80,,,,,ENERGY,,0,0.4,0.4,,,,,,,700,,,,,,,"SYSTEM,DANGEROUS",restricted,,光环动力武器工业,,清障,,,,,命中目标时，直接造成等同于单轮伤害的一次能量伤害。不会多次触发。,,按住[ %s ]以启用剑防御，降低 %s 装甲、结构和屏障受到的伤害，但是会持续产生硬幅能。,鼠标中键|80%,,
离子机枪,HSI_Apostle_RA,2,,120000,450,,90,90,3,30,0,30,3,15,ENERGY,45,,0,0.1,3,0.1,0,15,0.6,8,,800,,,30,,,"SYSTEM,PD,PD_ALSO,DO_NOT_CONSERVE",restricted,,光环动力武器工业,,通用,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Deco#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet_Deco2,HWI_Comet_Deco2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Comet_Deco3,HWI_Comet_Deco3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Comet_Deco4,HWI_Comet_Deco4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Comet_Deco5,HWI_Comet_Deco5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Comet_Deco6,HWI_Comet_Deco6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Comet_Deco7,HWI_Comet_Deco7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Weaver_Tension,HSI_Weaver_Tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Weaver_Bearing,HSI_Weaver_Bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
FengYue_SlotS,HSI_FengYue_SlotS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
FengYue_SlotL,HSI_FengYue_SlotL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
HSI_ContrailDeco_Wide,HSI_ContrailDeco_Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
RapidBlinker,HSI_RapidBlinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"HSI_SIB,HSI_RB",,,,,,,,,,,,,,
LongBlinker,HSI_LongBlinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,HSI_LIB,,,,,,,,,,,,,,
Spade_LED,HSI_Spade_LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"HSI_SIB,HSI_WithLight",,,,,,,,,,,,,,
FengYue_LED1,HSI_FengYue_LED1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"HSI_SIB,HSI_WithLight",,,,,,,,,,,,,,
FengYue_LED2,HSI_FengYue_LED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"HSI_SIB,HSI_WithLight",,,,,,,,,,,,,,
wolf_LED,HSI_wolf_LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"HSI_SIB,HSI_WithLight",,,,,,,,,,,,,,
LED,HSI_LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,HSI_WithLight,,,,,,,,,,,,,,
Life_LED,HSI_Life_LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,HSI_LIB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
